hkl,kpoints,atoms,area,total_energy,surface_energy
(001),5x1x1,160,76.26,-1269.98, 1.244
(010),1x1x1,240,350.84,-1881.97, 0.931
(011),1x1x1,240,359.03,-1870.37, 1.168
(100),5x1x1,160,71.23,-1274.69, 0.801
(101),5x1x1,160,104.35,-1271.17, 0.817
(102),5x1x1,480,168.34,-3827.25, 0.866
(110),1x1x1,240,358.00,-1880.15, 0.953
(112),1x1x1,480,389.14,-3793.49, 1.070
(122),1x1x1,640,721.59,-5025.79, 1.127
(201),5x1x1,320,161.59,-2533.46, 1.496
(211),1x1x1,480,386.26,-3794.13, 1.064
(212),1x1x1,480,408.22,-3784.64, 1.193